,merchant_name,broken_link_score,link_contact_us_exist,cu_email_exist,cu_phone_number_exist,link_about_us_exist,link_tnc_exist,tnc_refund_policy_exist,contact_us_score,tnc_score,links_response,website,fraud_score,label
0,CV.ASIATRIPINDONESIA,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,"{'https://asiatrip.id/reseller/': '<Response [200]>', 'https://asiatrip.id/product/promo-domestic-airasia/': '<Response [200]>', 'https://secure.comodo.com/ttb_searcher/trustlogo?v_querytype=W&v_shortname=CL1&v_search=https://asiatrip.id/&x=6&y=5': '<Response [200]>', 'https://asiatrip.id/tour/motogp-malaysia/': '<Response [200]>', 'https://asiatrip.id/media-partner/': '<Response [200]>', 'https://asiatrip.id/pembayaran/': '<Response [200]>', 'https://asiatrip.id/login/': '<Response [200]>', 'https://asiatrip.id/tour/osaka-kyoto/': '<Response [200]>', 'https://asiatrip.id/': '<Response [200]>', 'https://asiatrip.id/2020/02/03/': '<Response [200]>'}",http://asiatrip.id/,0.0,APPROVED
1,Pt.BloomingLotusYoga,70.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,"{'http://www.blooming-lotus-yoga.com/bliss-magazine': '<Response [403]>', 'https://www.blooming-lotus-yoga.com/yoga-nidra/': '<Response [403]>', 'https://www.blooming-lotus-yoga.com/giving/': '<Response [403]>', 'https://www.blooming-lotus-yoga.com/cdn-cgi/l/email-protection#8aebeee7e3e4cae8e6e5e5e7e3e4eda7e6e5fefff9a7f3e5edeba4e9e5e7': '<Response [200]>', 'https://www.tripadvisor.com/Attraction_Review-g297701-d6599001-Reviews-Blooming_Lotus_Yoga-Ubud_Gianyar_Regency_Bali.html': '<Response [200]>', 'https://www.blooming-lotus-yoga.com/events/meditation-retreat/': '<Response [403]>', 'https://www.blooming-lotus-yoga.com/graduate-students/': '<Response [403]>', 'https://www.blooming-lotus-yoga.com/10-secrets-of-yoga/': '<Response [403]>', 'https://www.health.harvard.edu/mind-and-mood/yoga-for-anxiety-and-depression': '<Response [200]>', 'https://www.blooming-lotus-yoga.com/retreat-center/': '<Response [403]>'}",https://www.blooming-lotus-yoga.com,0.0,APPROVED
2,YayasanGreenSejahtera,11.111111111111109,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,"{'': 'No Response/Timeout', 'https://greensejahterafoundation.com/shop/': '<Response [200]>', 'https://greensejahterafoundation.com/kontak-kami/': '<Response [200]>', 'https://greensejahterafoundation.com/product/donasi-kesehatan/': '<Response [200]>', 'https://greensejahterafoundation.com/cart/': '<Response [200]>', 'https://greensejahterafoundation.com/tnc/': '<Response [200]>', 'https://greensejahterafoundation.com/product/donasi-pendidikan/': '<Response [200]>', 'https://greensejahterafoundation.com/tentang-kami/': '<Response [200]>', 'https://greensejahterafoundation.com/': '<Response [200]>'}",https://greensejahterafoundation.com/,0.0,APPROVED
3,PTMatairTerraSolusi,12.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"{'': 'No Response/Timeout', 'https://www.matair.co.id/news.php': '<Response [200]>', 'https://www.matair.co.id/support.php': '<Response [200]>', 'https://www.matair.co.id/dealing_room.php': '<Response [200]>', 'https://www.matair.co.id/bourse_game.php': '<Response [200]>', 'https://www.matair.co.id/other_products.php': '<Response [200]>', 'https://www.matair.co.id/treasury_system.php': '<Response [200]>', 'https://www.matair.co.id/about.php': '<Response [200]>'}",http://www.matair.co.id,0.6666666666666666,APPROVED
4,SimplyMii,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,"{'https://www.simplymii.com/products/category/simplymii-hijab': '<Response [200]>', 'https://www.simplymii.com/products/category/simplymii-tops': '<Response [200]>', 'https://www.simplymii.com/products/loose-shirts-denim--japan-cotton': '<Response [200]>', 'https://www.pinterest.com/lovesimplymii/': '<Response [200]>', 'https://www.simplymii.com/products/tutu-skirts---black': '<Response [200]>', 'https://www.simplymii.com/products/category/mimi-alysa-prime': '<Response [200]>', 'https://www.simplymii.com/account/register': '<Response [200]>', 'https://www.simplymii.com/products/tutu-skirts---cream-navy': '<Response [200]>', 'https://www.simplymii.com/payment_notif': '<Response [200]>', 'https://www.simplymii.com/products/rayi-blouse-navy': '<Response [200]>'}",https://www.simplymii.com/,0.0,APPROVED
5,Nyetak.ID,0.0,0.0,1.0,1.0,0.0,1.0,1.0,66.66666666666666,100.0,"{'https://www.nyetak.id/pemesanan.php': '<Response [200]>', 'https://bazar.nyetak.id/index.php?appid=product&cat_id=1': '<Response [200]>', 'https://www.nyetak.id/editor.php?product=10': '<Response [200]>', 'https://bazar.nyetak.id/index.php?appid=product&cat_id=6': '<Response [200]>', 'https://www.nyetak.id/product.php?product_id=20': '<Response [200]>', 'https://www.nyetak.id/editor.php?product=6': '<Response [200]>', 'https://bazar.nyetak.id/index.php?appid=product&cat_id=11': '<Response [200]>', 'https://www.nyetak.id/editor.php?product=20': '<Response [200]>', 'https://admin.nyetak.id/index.php?appid=utama&sub=login': '<Response [200]>', 'https://www.nyetak.id/editor.php?product=2': '<Response [200]>'}",https://www.nyetak.id,0.0,APPROVED
6,nonandnik,100.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,"{'': 'No Response/Timeout', 'https://nonandnik.com/shop/po/chanelle-po-in-coral-maroon/': '<Response [403]>', 'https://nonandnik.com/track-order/': '<Response [403]>', 'https://nonandnik.com/pre-order/': '<Response [403]>', 'https://nonandnik.com/kebaya-shawl/': '<Response [403]>', 'https://nonandnik.com/shop/po/po-kara-lace-top-greek-white-monticello-peach/': '<Response [403]>', 'https://nonandnik.com/shop/po/chanelle-po-champagne-flower/': '<Response [403]>', 'https://nonandnik.com/shop/uncategorized/chanelle-champagne-peach-blush/': '<Response [403]>', 'https://nonandnik.com/my-account': '<Response [403]>', 'https://nonandnik.com/about-us': '<Response [403]>'}",https://nonandnik.com,0.0,APPROVED
7,YoYoMats,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No hyperlinks gathered,https://yoyomatsindonesia.myshopify.com,1.0,REJECTED
8,hiendguitar.com,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,"{'https://hiendguitar.com/collections/prs-usa-hollowbody-ii': '<Response [200]>', 'https://hiendguitar.com/collections/esp-e-ii': '<Response [200]>', 'https://hiendguitar.com/pages/call-us': '<Response [200]>', 'https://hiendguitar.com/products/suhr-reactive-load-ir': '<Response [200]>', 'https://hiendguitar.com/pages/our-artists': '<Response [200]>', 'https://hiendguitar.com/collections/dangelico': '<Response [200]>', 'https://hiendguitar.com/pages/esp-guitar': '<Response [200]>', 'https://hiendguitar.com/collections/jackson-usa': '<Response [200]>', 'https://hiendguitar.com/collections/kemper': '<Response [200]>', 'https://hiendguitar.com/blogs/hiend-news/prs-dragon-35th-anniversary': '<Response [200]>'}",http://hiendguitar.com/,0.0,APPROVED
9,Fipper,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,"{'http://www.fippersandal.co.id/catalog/basic-man/99015': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/classic/99032': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/fitt/99041': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/key-chain/128861': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/junior/99043': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/ultra-x/178771': '<Response [200]>', 'http://www.fippersandal.co.id/page/why-buy-fipper/74680': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/topi/109626': '<Response [200]>', 'http://www.fippersandal.co.id/catalog/glitter/124839': '<Response [200]>', 'http://www.fippersandal.co.id/page/about-us/74443': '<Response [200]>'}",http://www.fippersandal.co.id,0.0,APPROVED
