,merchant_name,broken_link_score,link_contact_us_exist,cu_email_exist,cu_phone_number_exist,link_about_us_exist,link_tnc_exist,tnc_refund_policy_exist,contact_us_score,tnc_score,label,broken_links
0,CV. ASIA TRIP INDONESIA,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Pt. Blooming Lotus Yoga,20.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,"{'https://www.blooming-lotus-yoga.com/bali-escape-retreat/': '<Response [403]>', 'https://www.blooming-lotus-yoga.com/seva/': '<Response [403]>'}"
0,Yayasan Green Sejahtera,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,PT Matair Terra Solusi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,APPROVED,{}
0,SimplyMii,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,APPROVED,{}
0,Nyetak.ID,0.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,nonandnik,0.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,APPROVED,{}
0,YoYo Mats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{}
0,hiendguitar.com,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Fipper,10.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,APPROVED,{'tel:081216671572': 'None'}
0,SisilShop,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Gamma Media,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Shinhwa Global Sakura Bear,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Gitra,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,REJECTED,{}
0,Putri mitsubishi,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Toko Reza 999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,wiraswasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{}
0,Barokah Lumintu,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Merah Hitam,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Sellygroup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{}
0,LifePal Technologies Pte. Ltd.,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Digital Service Testing Merchant,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,AOGIN,10.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,APPROVED,{'http://\xa0www.aoginbali2020.com': 'None'}
0,Zervinco,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,100.0,APPROVED,{}
0,Zervinco,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,100.0,APPROVED,{}
0,Project X,20.0,1.0,0.0,1.0,1.0,1.0,0.0,50.0,0.0,APPROVED,"{'https://projectx.id/about-us/': '<Response [404]>', 'https://projectx.id/contact-us/': '<Response [404]>'}"
0,Ini Aku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{}
0,bramble furniture,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,PAGi,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,APPROVED,{}
0,Netviro,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,APPROVED,{}
0,icreate.id,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,APPROVED,"{'https://www.icreate.id/job-vacancy.aspx': '<Response [404]>', 'https://www.icreate.id/living-room/coffee-table/category.aspx?cat=3&hal=1&sort=0': '<Response [500]>'}"
0,MALAMADRE MOTORCYCLES,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,APPROVED,{}
0,Huaning Indonesia Sukses,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'https://support.cloudflare.com/hc/en-us/articles/200171946-Error-523': '<Response [404]>'}
0,Yuliana GoHerbalife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{}
0,Radja Fit Club,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'https://bari.goherbalife.com//wellness/Home/Index/id-ID/': '<Response [500]>'}
0,CV. IDEA COMINDO,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,REVIEWED,{}
0,Club MESRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{}
0,Wyaz Rental,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,REVIEWED,{}
0,AndrianKun,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'': 'None'}
0,lemon bandung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{}
0,Cari Yugi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{}
0,Pedagang,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'': 'None'}
0,Cuanki Dapur Bunda,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,REVIEWED,{}
0,Elbeshop Store,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'': 'None'}
0,Polaro Furniture,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,REVIEWED,{}
0,Dicky,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'': 'None'}
0,a4swallpaper,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'': 'None'}
0,freakythrifting,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'': 'None'}
0,Adi,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Pawsomeness & Co,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,REJECTED,{}
